,review,predicted,label
64,"donald,sutherland,american,paleontologist,visiting,england,picks,hitch,hiker,evening,years,later,having,discovered,mans,address,book,car,returns,book,mans,opulent,home,find,mans,hanged,murder,family,care,hitch,hiker,committed,murder,stepmother,sutherlands,car,time,crimebr,sutherland,mans,alibi,hes,turned,late,sense,guilt,tracks,real,murdererbr,agatha,christies,mysteries,usually,involve,number,diverse,people,motive,crime,suspect,puzzle,depends,construction,strict,time,line,sidekick,investigator,talk,things,overbr,anfractuosity,situation,care,taken,explain,element,mystery,reader,viewer,redundancy,perfectly,okay,characters,time,lines,straight,christies,movies,rare,kind,use,famous,faces,subordinate,characters,actually,useful,jacqueline,de,bellefort,oh,yes,thats,mia,farrow,version,ordeal,innocence,golanglobus,production,implies,way,production,values,thoughtfully,prepared,script,skill,camerabr,minutes,sutherland,discovers,innocent,man,hanged,fine,flung,viewer,disjointed,scraps,sudden,flashbacks,confusing,voiceovers,tell,script,slapdash,quality,thrown,hacks,overnight,faces,familiar,doesnt,help,drops,remarks,names,hopeless,jumble,musical,score,consists,instruments,irritating,atonal,jazz,riffs,nudity,thrown,wake,dozers,audience,dame,agatha,alive,shed,viewers,needed,shaken,awakebr,dullsville",pos,neg
95,"tyra,banks,needs,teach,girls,beautiful,outside,inside,counts,lot,past,winners,looked,semi,decent,horribly,cruel,starting,trouble,girls,tyra,involved,girls,season,thing,worth,watching,model,mr,jay,manuel,recently,tyra,contestant,preop,transsexual,felt,encourage,obvious,insecurities,original,anatomy,showing,feminine,look,tyra,given,tips,sent,resident,trannie,ms,jay,help,girl,instead,contestant,met,harsh,criticism,positive,criticism,shame,truly,enjoyed,seasons,theres,reason,project,runway,seasons,dvd,model,season,dvd,called,taste,model,seriously,needs,lot,revamping,humanity",pos,neg
105,"sweltering,summer,deuces,gang,brooklyn,toughs,find,turf,threatened,leader,rival,gang,vipers,released,prison,leon,stephen,dorff,deuces,leader,tries,guide,boys,bloody,brawls,vipers,brother,brad,renfro,falls,sultry,dangerous,relationship,annie,fairuza,balk,sister,viper,girlfriend,brutally,attacked,leon,gang,plunged,allout,war,save,brother,girl,neighborhood,according,dvd,sleeve,description,definitely,basketball,diariesbr,think,west,story,getting,hit,head,baseball,bats,steel,pipes,stickball,having,left,brooklyn,dodgers,deuces,wild,cool,hollywood,sets,s,cars,soundtrack,songs,nicely,photographed,john,alonzo,story,direction,strengths,enables,film,peak,opening,minutes,proceed,downhill,cast,looks,good,read,credits,translates,ageing,flabby,mess,phony,pompadours,blood,brylcreem,fright,wig,sense,sadness,regret,permeates,productionbr,deuces,wild,scott,kalvert,stephen,dorff,brad,renfro,fairuza,balk,frankie,muniz",pos,neg
112,"legends,die,powerful,moving,story,orphaned,ute,indian,goes,tom,black,bull,champion,bronc,rider,raised,old,ways,tom,given,white,mans,adopt,language,ways,white,man,live,world,bitter,role,forced,tom,finds,fulfillment,thing,busting,horses,riding,death,rodeo,movie,richard,widmark,role,red,man,befriends,tom,acts,manager,red,drunk,eventually,dies,story,movie,ends,real,story,completely,ignored,dark,tom,black,bull,develops,reputation,killer,horses,rodeo,arenas,oh,read,book,movie,doesnt,come,close,story,justice",pos,neg
137,"ill,understand,studio,like,universal,buys,musical,butchers,bringing,screen,thought,seeing,ava,gardner,robert,walker,starring,seeing,mgm,musicals,best,time,boy,wrong,disappointedbr,touch,venus,starred,mary,martin,kenny,baker,john,boles,broadway,ran,performances,season,gardner,walker,tom,conway,play,roles,martin,baker,boles,stage,kurt,weillogden,nash,musical,book,nash,sj,perelman,comeback,vehicle,mary,martin,reestablished,queen,broadway,disappointing,venture,hollywood,look,names,went,given,responsible,book,expected,sparkling,wit,production,instead,got,pedestrian,screenplay,like,wit,drained,best,eve,arden,playing,usual,girl,friday,role,tom,conway,evebr,story,concerns,department,store,window,dresser,robert,walker,kisses,valuable,statue,venus,springs,life,person,ava,gardner,course,statue,goes,missing,conway,yells,law,suspicious,walker,person,statue,rest,film,walker,dealing,gardner,happen,reasons,dont,understand,ava,course,dubbed,eileen,wilson,walker,sings,couple,lines,singing,carried,dick,haymes,olga,san,juan,playing,walkers,friends,coworkers,course,broadway,songs,singers,mary,martin,kenny,baker,kind,think,haymes,playing,walkers,role,awkward,leastbr,songs,survived,score,dont,look,heart,showing,thats,incomparable,speak,low,haymess,silken,baritone,shown,best,advantage,speak,low,sung,duet,martin,baker,broadway,reason,lyrics,greatest,men,verse,century,ogden,nash,ann,ronnell,suspect,infamous,code,work,herebr,lee,servers,biography,ava,gardner,makes,mention,brief,fling,ava,robert,walker,spat,current,man,howard,duff,duff,gardner,reunited,walker,took,badly,didnt,speak,gardner,camera,im,sure,fact,best,work,didnt,help,matters,eitherbr,hopefully,repertoire,company,touch,venus,youll,way,weill,nash,perelman,wrote",pos,neg
138,"nave,young,eddie,hatch,window,dresser,savorys,department,store,falls,statue,venus,gives,chaste,kiss,venus,steps,pedestal,gives,eddie,bargained,creaking,example,hollywood,broadway,musical,manages,emphasize,inane,story,eliminate,firstrate,songs,purpose,safe,popular,movie,investment,capitalizing,ava,gardners,upward,mobility,super,stardom,robert,walker,eddie,gets,lost,thankless,role,eddies,naive,dithering,hapless,gardner,gorgeous,things,movie,life,olga,san,juan,eddies,loving,jealous,girl,friend,tom,conway,suave,owner,savorys,eve,arden,savorys,long,time,wise,cracking,secretary,role,arden,play,sleep,shes,good,musical,opened,broadway,mary,martin,bigtime,star,point,musical,music,touch,venus,intended,social,satire,sorts,kurt,weill,composing,ogden,nash,writing,lyrics,came,series,stylish,witty,songs,masterpiece,satire,clever,songs,martin,equivalent,showstopper,movie,weak,comedy,fantasy,comedy,predictable,fantasy,worked,death,producers,movie,toss,weillnash,songs,brought,movies,music,director,ann,ronell,write,new,lyrics,songs,survived,turning,sharp,observation,loveydovey,romance,ronell,hack,wrote,willow,weep,wonder,thought,replaced,tweaked,ogden,nashs,clever,work,bright,spot,movie,weillnash,masterpiece,speak,low,great,love,song,wrote,given,ultraprofessional,lifeless,treatments,eileen,wilson,dubbing,gardner,dick,haymes,contributes,chorus,ann,ronell,women,hollywood,major,music,director,composer,lyric,writer,song,women,tin,pan,alley,fascinating,documentary,women,business,including,ronell,kay,swift,dorothy,fields,dana,suess,like,hear,little,weillnash,score,recorded,original,broadway,cast,able,track,cd,touch,venus,original,cast,lute,song,original,cast,music,paired,lute,song,broadway,starred,martin",pos,neg
147,"natalie,wood,portrays,courtney,patterson,polio,disabled,songwriter,attempts,avoid,victimized,result,involvement,love,affair,partner,attorney,marcus,simon,played,tepidly,woods,reallife,husband,robert,wagner,film,cut,heavily,majority,remaining,scenes,shows,weak,hand,director,permits,wagner,consistently,somnambulate,laying,waste,solid,nuanced,performance,wood,proffers,fine,soprano,script,somewhat,trite,persistent,nature,wagners,dramatic,shortcoming,unfortunately,place,given,free,hand,impose,desultory,stare,wood,discouraging,actress,progression,relationship,erratically,presented,coupled,choppy,editing,leads,viewer,assured,transpiring,motivation,completely,ignored,writing,largely,undistinguished,cinematography,shines,brief,scene,wood,placed,patio,following,sound,closing,door,remains,center,cameras,eye,steadily,pulls,away,demonstrating,helplessness,frailty,controlled,direction,allowed,performers,limp,wagner,scale,acting,lines,engaging,relationship,released,immense,lack,commitment",pos,neg
152,"parents,enjoy,fail,find,humor,funny,dentist,husband,impregnating,hygienist,assistant,oldest,daughter,getting,impregnated,captain,high,school,football,team,absolutely,shock,people,think,constitutes,humor,nowadays,blame,shows,like,dating,game,newlywed,game,bringing,issue,sex,forefront,mids,sure,series,touching,moments,thats,excuse,content,went,series,like,familyoriented,days,love,lucy,decades,answer,series,plays,lifetime,cable,channel,channels,brass,think,women,relate,rebas,character,absolutely,dislike,character,reba,harts,daughter,kyra,best,described,ditsy,bitter,teenager,funny,wonder,actress,played,kyra,scarlett,pomers,like,real,life,away,acting,plays,blockhead,exhusband,dentist,christopher,rich,better,barbara,jean,played,melissa,peterman,ditsy,characters,van,cheyenne,annoyingbr,baffles,dingbatofaseries,creator,allison,m,gibson,decided,set,series,live,miles,away,houston,texas,reba,mcentire,isnt,state,shes,oklahoman,season,decided,incidental,music,sound,like,pig,snorting,mean,hear,baritone,saxophone,played,drums,accompanying,melodies,basically,tuneless",pos,neg
158,"pretty,liked,character,start,reba,comes,holier,thou,type,frankly,big,bully,stinks,scene,episode,later,seasons,van,unlikeable,toolike,spoof,self,kyra,walks,sneering,miserablethe,seasons,pretty,good,overlook,reba,end,pretty,bleak,basically,episode,barbara,jean,walking,dumbreba,mean,herbut,poor,ole,barbara,jean,desperately,wants,reba,like,results,barabara,jean,telling,reba,awesome,episode,think,pretty,clear,reba,self,esteem,issues,wants,seen,forgiving,saint,shame,potential",pos,neg
161,"easy,accurate,reba,heart,indicative,familyoriented,sitcoms,way,rips,better,sitcoms,real,truth,repetitive,stereotypes,funnier,groundbreaking,shows,lead,star,completely,element,im,sure,ms,mcintire,sing,fan,base,supports,sitcom,shooting,zingers,calling,lucille,ball,far,far,removed,realitybr,reba,presence,needed,establish,fact,cast,putupon,woman,entire,family,centered,watching,episodes,real,connection,character,care,adventures,character,mia,reba,mcintire,screen,presence,shortsighted,indicative,familyoriented,programming,push,sitcom,menstupidwomendoeverything,stereotypes,appeal,cant,afford,cablebr,waste,time,good,thing,better,production,values,standard,pax,ripoffjust",pos,neg
162,"opinion,movie,entire,video,portion,movie,absolute,trash,soundtrack,contained,music,great,heavy,metal,rock,band,recognized,music,band,called,firstryke,album,nightmare,written,curious,rest,movie,buffs,think,remember,far,appreciate,feed,collect,old,movie,obscure,movie,sound,tracks,time,consuming,hobby,rewarding,seen,bands,music,sold,germany,net,dollars,album,bad,hugh",pos,neg
175,"ones,doozy,dating,scene,crime,plays,like,coen,bros,movie,set,s,filmed,black,white,writers,ear,pastiche,isnt,welltuned,maybe,seen,instead,forerunner,oscarbaiting,schlock,like,road,perdition,frankly,wonder,film,isnt,considered,classic,film,professors,critics,considering,offers,term,overly,articulated,mannerist,thrills,cloaked,false,significance,like,grandaddy,fake,art,films,citizen,kane,murnau,mgm,usually,studio,wrong,eyes,think,story,atmosphere,gritty,realism,benefit,grotesque,overaestheticization,im,disciple,minnelli,school,takes,certain,light,touch,write,mannered,toughguy,dialogue,dashiell,hammett,stripe,willingness,let,maybe,scenes,pass,line,like,careful,mr,wiggly,youll,thirteen,fish,fry,little,wormies,catch,mr,wiggly,unfortunately,cut,believe,dialogue,loonily,inflated,riddled,non,sequiturs,lead,cops,wife,played,arlene,dahl,speaks,like,moonshaped,scar,eye,christian,rocco,time,van,johnson,turns,badge,line,im,sick,death,death,homicide,youll,wonder,writers,fixation,ornate,literary,devices,case,zeugma,misconstrued,street,outgrown,naked,gun,series,funniest,copsnrobbers,film,going",pos,neg
176,"okay,know,boring,cophomicide,tv,shows,came,believe,traced,movie,scene,crime,feels,like,tv,episode,episode,serial,complete,stock,characters,situations,hotshot,cop,clashes,superiors,aging,cop,doesnt,want,desk,job,despite,failing,eyesight,reckless,rookie,doublecrossing,dame,etcbr,like,actors,good,job,overall,found,movie,dull,im,fan,genre,kept,tuning,discussing,case,bookies,informers,oh,yeah,stripper,played,previously,wholesome,gloria,dehaven,want,know,calling,van,johnson,uncle,wiggly,wasnt,uncle,wiggly,rabbit,character,childrens,book,heck,guess,dont,toughguy,film,noirish,kinda,jargonbr,fact,dialogue,mutter,talks,like,relate,scene,cops,wife,arlene,dahl,worries,time,goes,work,realizes,maybe,shouldnt,husband,center,life,yeah,know,feeling,loving,dependent,theres,constant,fear,safety,moments,truth,film,underneath,stylized,dialogue,atmosphere,trying,selfconsciously,gritty,real,actually,unreal,mebr,little,background,movie,dore,schary,took,mgm,louis,b,mayer,began,end,wholesome,musicals,mgm,great,dore,schary,determined,bring,realism,movies,kinda,hate,dore,schary,maybe,blame,pretentious,bleak,movies,today,wallowing,ugly,truths,life,focusing,opinion,helping,perpetuate,worst,humanity,best,longer,uplifting,way,classic,movies,designed,providing,necessary,distraction,great,depression,world,war,iibr,damn,need,kind,distraction,today,theres,plenty,depression,plenty,war,people,turning,nowadays,want,escape,trashy,braindeadening,reality,tv,thanks,lot,dore",pos,neg
177,"paul,kersey,running,short,actual,relatives,avenge,installment,death,wish,saga,revolves,returning,new,york,visit,old,war,buddy,arrives,find,brooklyn,entirely,changed,pauperized,gangland,youthful,thugs,killed,friend,continuously,terrorize,tenants,ramshackle,apartment,building,kersey,strikes,deal,local,police,commissioner,conquers,heart,blond,attorney,blows,away,numerous,villains,impressive,wildey,magnum,gun,gradually,trains,inspires,petrified,new,yorkers,stand,okay,theres,point,defending,death,wish,series,seeing,original,masterpiece,revolved,social,drama,retribution,pure,exploitation,redeeming,qualities,events,logically,linked,occurring,number,frequently,feels,like,totally,separate,franchise,apparently,kersey,isnt,architect,anymore,hes,times,social,talkative,suddenly,police,vigilante,actions,anymore,changes,aspects,obvious,michael,winner,charles,bronson,reduced,death,wish,success,purely,brainless,exploitative,action,series,death,toll,gigantically,increases,episode,armory,explosive,criminals,nastier,sleazier,meaner,lot,harder,kill,gentlemen,didnt,realize,nonstop,spitfire,violence,actually,creates,opposite,effect,extremely,monotonous,boring,previous,read,brilliant,review,referred,death,wish,pure,definition,cinematic,masturbation,description,couldnt,spoton,script,tiredly,moves,repugnant,execution,sequence,particularly,final,minutes,complete,orgy,gunfire,explosions,executions,realized,improvised,homemade,measures,yihaaa,entry,series,interesting,supportive,cast,including,martin,balsam,psycho,angry,men,fatigue,neighbor,keeps,machine,guns,closet,ed,lauter,family,plot,longest,yard,slightly,unorthodox,copper,alex,winter,bill,teds,excellent,adventure,debut,role,thugs",pos,neg
180,"spooky,westerns,s,early,s,strong,beginning,isnt,randy,bowers,john,wayne,stopping,halfway,house,saloon,finds,dead,bodies,bartenders,corpse,draped,bar,holding,gun,eyes,watching,randy,holes,cut,eyes,picture,player,piano,playing,loveliest,night,year,result,robbery,marvin,black,gang,ed,rogers,randy,investigator,works,wastes,little,time,getting,arrested,escaping,eds,daughter,sallys,help,literally,landing,midst,black,gangs,hideout,waterfall,moves,fairly,quickly,chases,randy,slow,downbr,george,hayes,clean,shaven,playing,parts,marvin,black,vilest,villain,good,citizen,matt,mute,communicates,handwritten,messages,having,play,opposite,roles,good,idea,writing,messages,thing,gets,old,real,fast,finally,gives,near,end,saying,sally,ah,im,fed,find,george,playing,vile,vile,double,crossing,villain,serial,lost,city,think,lone,star,film,title,relates,mentioned,film,sally,offers,hand,randy,says,hes,anymore,cut,arms,look,facing,lake,sallys,running,randy,abrupt,sufficiently,prepared,time,spent,horseback,escaping,sheriffbr,bad,considering,great,id,half",pos,neg
183,"watching,film,today,got,feeling,thing,missing,minutes,beginning,story,john,wayne,rides,trading,postsaloon,middle,meet,owner,robberies,sees,signs,massacre,dead,bodies,signs,fight,alive,sight,thats,owners,daughter,hidden,secret,room,kind,find,old,english,murder,mysteriesbr,reason,find,hidden,rooms,kind,stories,priestholes,catholic,families,clinging,old,faith,th,century,england,built,things,hide,run,royal,authorities,faith,westerns,good,gimmickbr,unfortunately,bad,editing,writing,know,exactly,brought,wayne,place,exactly,b,western,good,thatbr,gabby,hayes,hes,clean,shaven,playing,mute,time,unusual,circumstance,garrulous,gabbybr,want,bother,find,happens,whiskerless,gabby,hayes,film",pos,neg
184,"review,uk,dvd,threedisc,box,set,disc,called,caught,act,contains,model,behavior,chasing,jamie,fast,curious,disc,called,bedroom,fantasies,contains,blue,plate,special,falling,lust,love,potion,final,disc,called,goes,contains,chatroom,shes,boss,legally,episodes,series,included,mystery,surely,room,discs,lot,materialbr,episode,opens,hotel,manager,chloe,lauren,hayes,reading,letter,satisfied,customer,story,unfolding,guests,check,hotel,blue,plate,special,exception,story,waitress,writers,given,credit,coming,good,variety,story,lines,instance,model,behavior,models,vying,attention,photo,crew,falling,lust,man,woman,parted,rekindle,love,meet,hotel,shes,boss,putupon,male,secretarydogsbody,shows,man,female,boss,realised,pleasure,episodes,lead,lots,nudity,sexbr,come,surprise,characters,hotel,beautiful,women,handsome,hunks,geeky,secretaries,transformed,remove,spectacles,let,hair,sex,action,plentiful,frantic,false,camera,work,bit,moderation,spending,time,close,moving,capture,usual,loud,music,sex,action,finally,end,credits,mention,palm,canopy,hotel,singer,island,florida,map,florida,shows,singer,island,scenery,certainly,looks,like,florida,utah,las,vegas,people,mentioned,good,effort,pity,second,series,awaiting,uk,dvd,release,stars",pos,neg
224,"movie,changed,life,hogans,performance,short,incredible,havent,recovered,exclusion,oscar,nominations,brightly,hulkster,shines,movie,cant,discount,brilliant,writing,direction,vaults,masterpiece,highest,strata,achievement,film,havent,seen,movie,drop,right,copy,guarantee,blow,mind,dont,like,question,watcha,gonna,inch,pythons,hulkamania,runs,wild",pos,neg
242,"formulaic,film,heros,girlfriend,marries,villain,didnt,fast,given,circumstances,story,scott,old,times,character,turns,away,decisive,action,deflating,scenes,responds,deaths,hands,weakly,escapes,knoxs,gang,hiding,rain,barrel,escape,high,country,pursuit,john,russell,superfluous,film,plot,tightened,high,points,film,seeing,tennessee,ernie,ford,mustache,singing,man,saddle,alfonso,bedoyas,brief,scenes,cook,color,photography,high,country,fight,scene,john,russell",pos,neg
254,"titled,magical,castle,stretch,bother,create,rockbart,add,story,line,nearly,play,swan,lake,girlfriend,rockbart,stolen,book,forbidden,arts,original,characters,voices,remain,stripped,bares,continuation,thread,thing,know,bird,memorized,forbidden,arts,swan,princess,magical,bird,born,thankfully,chapters,supposedly,closed,beginning,bad,ended,trilogy,come,close",pos,neg
257,"rent,couple,movies,little,cousin,new,years,picked,swan,princess,mystery,enchanted,kingdom,little,mermaid,watched,films,shes,sleeping,figured,couple,comments,cheesy,cartoon,wasnt,bad,admit,children,plots,new,great,introduction,stories,thembr,odette,finds,derek,secretly,keeping,magic,secrets,rosthoe,tells,derek,destroy,immediately,guy,typically,tells,achieve,magics,help,witch,named,zelda,gets,hands,finds,derek,tore,words,spell,wants,use,destroy,kidnaps,odette,order,retrieve,informationbr,swan,princess,mystery,enchanted,kingdom,silly,predictable,kids,honestly,rare,clean,cut,cartoons,days,im,going,cut,film,slack,weird,seeing,voices,change,sudden,grew,guess,stuck,headbr",pos,neg
261,"carole,lombard,stars,transition,period,film,film,typical,example,early,talkie,practical,sound,film,jazz,singer,overall,acting,film,tends,extremely,broad,melodramaticbr,viewer,easily,note,actors,acting,silent,film,combined,overly,pronounced,overly,earnest,dialog,likely,dictionelocutiondrama,coach,employed,extensively,teach,silent,actors,speak,lines,creates,comical,scenes,intended,comicalbr,carole,lombards,later,great,acting,ability,unrecognizable,underneath,broad,gestures,melodrama,eager,earnestnessbr,mainly,interesting,historical,curiosity,period,completely,unintended,comedycamp,value",pos,neg
